Timestamp                       Thread     Type        Activity             PID    TTL  
2025-03-16 15:38:24.035879+0100 0x35e26a7  Default     0x0                  71744  0    sketchybar: (libxpc.dylib) [com.apple.xpc:connection] [0x139505650] activating connection: mach=true listener=false peer=false name=com.apple.lsd.mapdb
2025-03-16 15:38:24.042451+0100 0x35e26c4  Default     0x0                  71744  0    sketchybar: (CoreAnalytics) [com.apple.CoreAnalytics:client] Received configuration update from daemon (initial)
2025-03-16 15:38:24.065443+0100 0x35e26a7  Default     0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Set a breakpoint at SLSLogBreak to catch errors/faults as they are logged.
2025-03-16 15:38:24.065444+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.098177+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.114098+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.130918+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.147454+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.164440+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.181355+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.197989+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.214705+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.236325+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.254165+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.268810+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.293372+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.319952+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.332309+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.347048+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.383398+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.383802+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.384107+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.384370+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.384612+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.384852+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
2025-03-16 15:38:24.397062+0100 0x35e26a7  Error       0x0                  71744  7    sketchybar: (SkyLight) [com.apple.SkyLight:default] Unable to bridge WindowManagement interface - no delegate has been set
